50 Cent,New York City,E
A Tribe Called Quest,New York City,E
A$AP Rocky,New York City,E
Aesop Rock,New York City,E
Beastie Boys,New York City,E
Big Daddy Kane,New York City,E
Big L*,New York City,E
Big Punisher,New York City,E
Black Moon*,New York City,E
Black Sheep,New York City,E
Boogie Down Productions,New York City,E
Brand Nubian,New York City,E
Busta Rhymes,New York City,E
De La Soul,New York City,E
Digable Planets,New York City,E
DJ Jazzy Jeff & The Fresh Prince,Philadelphia,E
DMX,New York City,E
Eve,Philadelphia,E
Fugees,New Jersey,E
G-Unit,New York City,E
Gang Starr*,Boston,E
Ghostface Killah,New York City,E
Grandmaster Flash,New York City,E
Grandmaster Flash and the Furious Five,New York City,E
GZA,New York City,E
Immortal Technique,New York City,E
Inspectah Deck,New York City,E
Ja Rule,New York City,E
Jadakiss,New York City,E
Jay-Z,New York City,E
Jedi Mind Tricks,Philadelphia,E
Jungle Brothers,New York City,E
Kid Cudi,New York City,E
Kool G Rap*,New York City,E
Kool Keith,New York City,E
KRS-One,New York City,E
Kurtis Blow*,New York City,E
Lauryn Hill,New Jersey,E
Lil' Kim,New York City,E
LL Cool J,New York City,E
Mary J. Blige,New York City,E
Mase,New York City,E
Masta Killa,New York City,E
MC Lyte,New York City,E
Method Man,New York City,E
Mobb Deep,New York City,E
Mos Def,New York City,E
Nas,New York City,E
Naughty By Nature,New Jersey,E
Nicki Minaj,New York City,E
Notorious B.I.G.,New York City,E
Ol' Dirty Bastard,New York City,E
Public Enemy,New York City,E
Puff Daddy/P. Diddy/Diddy,New York City,E
Q-Tip,New York City,E
Queen Latifah,New Jersey,E
Raekwon,New York City,E
Rakim,New York City,E
Redman,New York City,E
Run-D.M.C.,New York City,E
Salt-N-Pepa,New York City,E
Schoolly D*,Philadelphia,E
Slick Rick,New York City,E
Styles P,New York City,E
Talib Kweli,New York City,E
The Diplomats,New York City,E
The LOX,New York City,E
The Roots,Philadelphia,E
The RZA,New York City,E
The Sugarhill Gang,New Jersey,E
U-God,New York City,E
Will Smith,Philadelphia,E
Wiz Khalifa,Pittsburgh,E
Wu-Tang Clan,New York City,E
Wyclef Jean,New Jersey,E
Big Sean,Detroit,MW
Bone Thugs-N-Harmony,Cleveland,MW
Bow Wow,Columbus,MW
Chance the Rapper,Chicago,MW
Chingy,St. Louis,MW
Common,Chicago,MW
D12,Detroit,MW
Eminem,Detroit,MW
J Dilla,Detroit,MW
Kanye West,Chicago,MW
Lupe Fiasco,Chicago,MW
Nelly,St. Louis,MW
Twista,Chicago,MW
2 Chainz,Georgia,S
2 Live Crew,Miami,S
Arrested Development,Atlanta,S
Big K.R.I.T.,Mississippi,S
Chamillionaire,Houston,S
Childish Gambino,Georgia,S
Clipse,Virginia,S
Geto Boys,Houston,S
Goodie Mob,Atlanta,S
Jermaine Dupri,Atlanta,S
Juvenile,New Orleans,S
Lil Wayne,New Orleans,S
Ludacris,Atlanta,S
Master P,New Orleans,S
Missy Elliott,Virginia,S
Mystikal,New Orleans,S
Outkast,Atlanta,S
Pusha T,Virginia,S
Rick Ross,Miami,S
Scarface,Houston,S
T.I.,Atlanta,S
Three 6 Mafia,Memphis,S
Timbaland,Virginia,S
TRU,New Orleans,S
UGK*,Houston,S
Vanilla Ice,Miami,S
Young Jeezy,Atlanta,S
2Pac,San Francisco,W
Blackalicious,Sacramento,W
Casual,San Francisco,W
Coolio,Los Angeles,W
Cypress Hill,Los Angeles,W
Del Tha Funkee Homosapien,San Francisco,W
Digital Underground,San Francisco,W
Domo Genesis,Los Angeles,W
Dr Dre,Los Angeles,W
E-40,San Francisco,W
Earl Sweatshirt,Los Angeles,W
Eazy-E,Los Angeles,W
Hieroglyphics,San Francisco,W
Hodgy Beats,Los Angeles,W
Ice Cube,Los Angeles,W
Ice-T,Los Angeles,W
Kendrick Lamar,Los Angeles,W
Lil B,San Francisco,W
Macklemore,Seattle,W
MC Hammer,San Francisco,W
MC Ren,Los Angeles,W
Mike G,Los Angeles,W
N.W.A.,Los Angeles,W
Odd Future,Los Angeles,W
Schoolboy Q,Los Angeles,W
Skee-Lo,Los Angeles,W
Snoop,Los Angeles,W
Souls of Mischief,San Francisco,W
Tha Dogg Pound,Los Angeles,W
The Game,Los Angeles,W
The Pharcyde,Los Angeles,W
Tone-L?c,Los Angeles,W
Too $hort,San Francisco,W
Tyler the Creator,Los Angeles,W
Warren G,Los Angeles,W